Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J201","Conn_01x02_Socket","Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal",117.250000,-103.750000,90.000000,bottom
"J202","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",125.000000,-102.325000,0.000000,bottom
"J301","Micro_SD_Card_Det1","TF-015",125.000000,-142.270000,180.000000,bottom
"J402","PJ-320B","PJ-320B",144.350000,-107.025000,180.000000,bottom
"TH201","NTC","R_0603_1608Metric",113.930000,-114.310000,180.000000,bottom
"C101","4.7u","C_0603_1608Metric",123.375000,-131.725000,135.000000,top
"C102","100n","C_0402_1005Metric",126.025000,-130.600000,-135.000000,top
"C103","100n","C_0402_1005Metric",129.000000,-127.600000,-135.000000,top
"C104","100n","C_0402_1005Metric",123.875000,-130.450000,135.000000,top
"C105","100n","C_0402_1005Metric",119.475000,-123.950000,45.000000,top
"C106","100n","C_0402_1005Metric",126.250000,-119.600000,-45.000000,top
"C107","100n","C_0402_1005Metric",133.950000,-125.800000,135.000000,top
"C108","100n","C_0402_1005Metric",132.389411,-126.460589,45.000000,top
"C109","100n","C_0402_1005Metric",131.025000,-125.775000,-45.000000,top
"C110","100n","C_0402_1005Metric",119.258787,-121.351213,135.000000,top
"C111","100n","C_0402_1005Metric",118.289411,-122.275000,135.000000,top
"C112","100n","C_0402_1005Metric",133.400000,-123.350000,-45.000000,top
"C113","10p","C_0603_1608Metric",128.326992,-134.201992,135.000000,top
"C114","10p","C_0603_1608Metric",132.425000,-130.150000,-45.000000,top
"C115","4.7u","C_0603_1608Metric",126.725000,-118.300000,135.000000,top
"C201","100n","C_0402_1005Metric",125.825000,-112.250000,-90.000000,top
"C202","100n","C_0402_1005Metric",124.175000,-112.250000,-90.000000,top
"C203","10u","C_0603_1608Metric",111.575000,-119.675000,-135.000000,top
"C204","47n","C_0402_1005Metric",114.175000,-114.500000,-45.000000,top
"C205","10u","C_0805_2012Metric",118.200000,-115.225000,135.000000,top
"C206","10u","C_0805_2012Metric",120.550000,-112.625000,45.000000,top
"C207","10u","C_0805_2012Metric",117.650000,-109.675000,45.000000,top
"C208","10u","C_0805_2012Metric",119.078249,-111.146751,45.000000,top
"C209","10u","C_0603_1608Metric",112.125000,-116.550000,135.000000,top
"C210","10u","C_0805_2012Metric",120.625000,-116.600000,45.000000,top
"C211","10u","C_0603_1608Metric",113.187912,-115.477126,135.000000,top
"C212","10u","C_0603_1608Metric",140.000000,-135.500000,0.000000,top
"C213","10u","C_0603_1608Metric",140.000000,-133.500000,0.000000,top
"C214","10u","C_0805_2012Metric",137.250000,-130.000000,-90.000000,top
"C215","10u","C_0805_2012Metric",143.750000,-130.000000,-90.000000,top
"C216","10u","C_0805_2012Metric",104.500000,-130.000000,-90.000000,top
"C217","10u","C_0805_2012Metric",111.000000,-130.000000,-90.000000,top
"C301","10u","C_0603_1608Metric",127.710000,-140.930000,0.000000,top
"C302","100n","C_0402_1005Metric",127.740000,-139.630000,0.000000,top
"C303","100n","C_0402_1005Metric",120.200000,-120.400000,135.000000,top
"C304","10u","C_0603_1608Metric",132.275000,-139.650000,180.000000,top
"C305","10u","C_0603_1608Metric",117.475000,-139.675000,180.000000,top
"C401","10u","C_0603_1608Metric",129.920000,-116.400000,135.000000,top
"C402","100n","C_0402_1005Metric",130.690000,-115.320000,135.000000,top
"C403","100n","C_0402_1005Metric",134.750000,-121.950000,45.000000,top
"C404","10u","C_0603_1608Metric",136.050000,-122.450000,45.000000,top
"C405","10u","C_0603_1608Metric",128.951992,-117.801992,135.000000,top
"C406","10u","C_0603_1608Metric",129.625000,-120.725000,135.000000,top
"C407","100n","C_0402_1005Metric",130.450000,-119.750000,135.000000,top
"D101","GREEN","LED_0402_1005Metric",133.250000,-103.010000,-90.000000,top
